timestamp,zone_temp,outdoor_temp,fan_power,chiller_power,pump_power,hvac_power,cooling_rate,heating_rate,cooling_setpoint,heating_setpoint
5.25,16.802001537576967,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
5.5,16.717045096926125,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
5.75,16.63686034826496,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
6.0,16.561245443980457,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
6.25,16.490262691264,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
6.041666666666667,16.490262691264,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,2936.7186703732527,,
6.083333333333334,16.490262691264,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3179.107973148215,,
6.125,16.490262691264,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3252.2753904454007,,
6.166666666666667,16.490262691264,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3255.188478623063,,
6.208333333333334,16.490262691264,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3253.6917147302565,,
6.25,16.490262691264,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3250.7297882095468,,
6.5,16.414472287310947,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3248.3209327272316,,
6.291666666666667,16.414472287310947,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3247.909186429978,,
6.333333333333334,16.414472287310947,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3251.3265291679163,,
6.375,16.414472287310947,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3248.5078489225207,,
6.416666666666667,16.414472287310947,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3247.4456208910988,,
6.458333333333334,16.414472287310947,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3245.700124296962,,
6.5,16.414472287310947,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3243.9924668725203,,
6.75,16.35199887472658,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3242.848527514291,,
6.583333333333333,16.35199887472658,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3242.8229797758872,,
6.666666666666666,16.35199887472658,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3245.1068421603327,,
6.75,16.35199887472658,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3242.7561527837966,,
7.0,16.31301420744032,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3240.5751892493117,,
6.875,16.31301420744032,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3239.187155834575,,
7.0,16.31301420744032,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3240.504073372313,,
7.25,16.290781325010087,-10.45,376.37784942167525,0.0,0.0,0.0,0.0,3238.496048262472,,
7.5,16.291750587833352,-10.3,376.37784942167525,0.0,0.0,0.0,0.0,3236.7111223324737,,
7.75,16.316822366357297,-10.15,376.37784942167525,0.0,0.0,0.0,0.0,3235.096718465905,,
8.0,16.36858445131988,-10.0,376.37784942167525,0.0,0.0,0.0,0.0,3233.1661747115645,,
8.25,16.4405115530786,-9.725,376.37784942167525,0.0,0.0,0.0,0.0,3230.371718222618,,
8.083333333333334,16.4405115530786,-9.725,376.37784942167525,0.0,0.0,0.0,0.0,3227.325633334021,,
8.166666666666668,16.4405115530786,-9.725,376.37784942167525,0.0,0.0,0.0,0.0,3227.325633334021,,
8.25,16.4405115530786,-9.725,376.37784942167525,0.0,0.0,0.0,0.0,3209.504553420356,,
8.5,17.33732571958143,-9.45,376.37784942167525,0.0,0.0,0.0,0.0,3199.0062256545903,,
8.333333333333334,17.33732571958143,-9.45,385.75897966763273,0.0,0.0,0.0,0.0,3119.4845076519414,,
8.416666666666668,17.33732571958143,-9.45,376.37784942167525,0.0,0.0,0.0,0.0,3242.9077528507696,,
8.5,17.33732571958143,-9.45,384.11414758095617,0.0,0.0,0.0,0.0,3117.8664253097427,,
8.75,17.950844967052053,-9.175,393.26693637816004,0.0,0.0,0.0,0.0,3067.848605705736,,
9.0,18.13934742137448,-8.9,413.07773794515384,0.0,0.0,0.0,0.0,2960.466600681934,,
9.25,18.29390183903071,-8.350000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2969.072287192698,,
9.125,18.29390183903071,-8.350000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2922.3189432638605,,
9.25,18.29390183903071,-8.350000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2922.3189432638605,,
9.5,18.742311145553252,-7.800000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2878.405462217091,,
9.375,18.742311145553252,-7.800000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2859.8113404823393,,
9.5,18.742311145553252,-7.800000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2868.795968369158,,
9.75,19.109541073325055,-7.25,413.07773794515384,0.0,0.0,0.0,0.0,2816.2816109829955,,
9.625,19.109541073325055,-7.25,413.07773794515384,0.0,0.0,0.0,0.0,2791.837417048502,,
9.75,19.109541073325055,-7.25,413.07773794515384,0.0,0.0,0.0,0.0,2803.6418878589234,,
10.0,19.345187863002348,-6.7,413.07773794515384,0.0,0.0,0.0,0.0,2749.5113318191793,,
10.25,19.576478405884224,-6.275,413.07773794515384,0.0,0.0,0.0,0.0,2731.8069301446026,,
10.5,19.838478715520008,-5.85,415.23793215951076,0.0,0.0,0.0,0.0,2655.936401387184,,
10.75,20.110777124989898,-5.425,419.3737273813433,0.0,0.0,0.0,0.0,2547.8805409799556,,
11.0,20.370002057193446,-5.0,420.1870996980667,0.0,0.0,0.0,0.0,2467.9395303683796,,
11.25,20.612179678579448,-4.575,420.48088412217396,0.0,0.0,0.0,0.0,2396.8383679680655,,
11.5,20.747948044913716,-4.15,417.4114326025635,0.0,0.0,0.0,0.0,2367.740583215881,,
11.75,20.901410281994625,-3.7249999999999996,415.7902657638457,0.0,0.0,0.0,0.0,2329.806490151615,,
12.0,21.042875821288707,-3.3,413.8009457250358,0.0,0.0,0.0,0.0,2305.1182401450305,,
12.25,21.110296510145076,-3.0249999999999995,413.07773794515384,0.0,0.0,0.0,0.0,2262.4573792927267,,
12.125,21.110296510145076,-3.0249999999999995,413.07773794515384,0.0,0.0,0.0,0.0,2213.784704839117,,
12.25,21.110296510145076,-3.0249999999999995,413.07773794515384,0.0,0.0,0.0,0.0,2213.784704839117,,
12.5,20.955191929110924,-2.75,413.07773794515384,0.0,0.0,0.0,0.0,2187.063747463508,,
12.375,20.955191929110924,-2.75,413.07773794515384,0.0,0.0,0.0,0.0,2181.6387329291692,,
12.5,20.955191929110924,-2.75,413.07773794515384,0.0,0.0,0.0,0.0,2183.469657678492,,
12.75,20.804972164986182,-2.475,413.07773794515384,0.0,0.0,0.0,0.0,2161.38016258905,,
12.625,20.804972164986182,-2.475,413.07773794515384,0.0,0.0,0.0,0.0,2155.372327865033,,
12.75,20.804972164986182,-2.475,413.07773794515384,0.0,0.0,0.0,0.0,2158.531026060785,,
13.0,20.748661801992903,-2.2,413.07773794515384,0.0,0.0,0.0,0.0,2136.6684072837115,,
13.25,20.712099427122354,-1.9250000000000003,413.07773794515384,0.0,0.0,0.0,0.0,2129.8668159391427,,
13.5,20.81489530161294,-1.6500000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2109.392220346289,,
13.75,20.865851114098454,-1.375,413.07773794515384,0.0,0.0,0.0,0.0,2078.487110643542,,
14.0,20.864896253639028,-1.1,413.07773794515384,0.0,0.0,0.0,0.0,2050.8174521911055,,
14.25,20.85936111916021,-1.1,413.07773794515384,0.0,0.0,0.0,0.0,2027.2628273657529,,
14.5,20.933447932762128,-1.1,413.07773794515384,0.0,0.0,0.0,0.0,2008.2569661107723,,
14.75,20.992756644448725,-1.1,413.07773794515384,0.0,0.0,0.0,0.0,1982.7284314978456,,
15.0,21.000727013613243,-1.1,413.07773794515384,0.0,0.0,0.0,0.0,1959.6071992712666,,
15.25,20.977630795841154,-1.1,413.37627921841363,0.0,0.0,0.0,0.0,1934.5168595476014,,
15.5,20.899402833326807,-1.1,413.07773794515384,0.0,0.0,0.0,0.0,1927.4302555618465,,
15.75,20.796709934680447,-1.1,413.2479690283165,0.0,0.0,0.0,0.0,1912.16018099289,,
16.0,20.718107848911192,-1.1,415.2502054272298,0.0,0.0,0.0,0.0,1858.934972343576,,
16.25,20.655019302474628,-1.1,416.4491616891146,0.0,0.0,0.0,0.0,1830.1184087505444,,
16.5,20.498515227962923,-1.1,413.07773794515384,0.0,0.0,0.0,0.0,1906.8014681928369,,
16.75,20.3538995031645,-1.1,413.07773794515384,0.0,0.0,0.0,0.0,1902.9632040969757,,
17.0,20.269758721051645,-1.1,413.07773794515384,0.0,0.0,0.0,0.0,1908.3010139534924,,
17.25,20.21933975444847,-1.25,413.07773794515384,0.0,0.0,0.0,0.0,1915.0937505418108,,
17.5,20.166350706518454,-1.4,413.07773794515384,0.0,0.0,0.0,0.0,1921.6956225385818,,
17.375,20.166350706518454,-1.4,383.61562209883226,0.0,0.0,0.0,0.0,2760.140147135103,,
17.5,20.166350706518454,-1.4,376.37784942167525,0.0,0.0,0.0,0.0,2950.6455594651934,,
17.75,20.486842608927475,-1.5499999999999998,396.7940991614306,0.0,0.0,0.0,0.0,2216.020378964121,,
18.0,20.23424263826271,-1.7,413.07773794515384,0.0,0.0,0.0,0.0,1885.013903298589,,
18.25,20.03944264461235,-1.825,413.07773794515384,0.0,0.0,0.0,0.0,1933.1856907534652,,
18.125,20.03944264461235,-1.825,413.07773794515384,0.0,0.0,0.0,0.0,1944.9325286666697,,
18.25,20.03944264461235,-1.825,413.07773794515384,0.0,0.0,0.0,0.0,1944.9325286666697,,
18.5,19.617854505251632,-1.9500000000000002,413.07773794515384,0.0,0.0,0.0,0.0,1988.8160838911515,,
18.375,19.617854505251632,-1.9500000000000002,413.07773794515384,0.0,0.0,0.0,0.0,2013.066804321907,,
18.5,19.617854505251632,-1.9500000000000002,413.07773794515384,0.0,0.0,0.0,0.0,2001.03991150318,,
18.75,19.333306828598893,-2.075,413.07773794515384,0.0,0.0,0.0,0.0,2039.6204552712445,,
18.625,19.333306828598893,-2.075,413.07773794515384,0.0,0.0,0.0,0.0,2053.5887110778394,,
18.75,19.333306828598893,-2.075,413.07773794515384,0.0,0.0,0.0,0.0,2046.6508753357991,,
19.0,19.196520212118557,-2.2,413.07773794515384,0.0,0.0,0.0,0.0,2075.999380535028,,
19.25,19.07440518690369,-1.9250000000000003,413.07773794515384,0.0,0.0,0.0,0.0,2086.7345111985514,,
